   10
    1    10.00     1.00    0    0    1    1     1.00
    2    10.00     1.00    0    0    1    1     1.00
    3     5.00     1.00    0    0    2    1     1.00
    4     5.00     1.00    0    0    2    1     1.00
    5    10.00     1.00    1    2    3    1     1.00
    6    10.00     1.00    1    1    1    2     1.00
    7    15.00     1.00    1    1    2    2     1.00
    8    15.00     1.00    2    3    3    2     1.00
    9    15.00     1.00    2    3    3    2     1.00
   10    15.00     1.00    2    2    3    1     1.00
    1    5    1.00 0
    2    5    1.00 0
    2    6    1.00 0
    3    6    1.00 0
    3    7    1.00 0
    4    7    1.00 0
    5    8    1.00 0
    5    9    1.00 0
    6    9    1.00 0
    6   10    1.00 0
    7   10    1.00 0
    0
